review_id,category,domain,level,language,target_topic,question,technical_validity,role_relevance,cv_alignment,difficulty_alignment,clarity,rag_grounding,false_premise,reviewer_id,notes
REVIEW-77696E4DE1,architecture-management,Backend_Developer,Middle,vi,Single Sign-On (SSO),Bạn có thể mô tả một quyết định kỹ thuật quan trọng bạn đã thực hiện khi triển khai Single Sign-On (SSO) trong dự án backend của mình không?,,,,,,,,,
REVIEW-2EF400E6EF,data-ai,DevOps_Engineer,Middle,vi,Implementation,"Bạn có thể mô tả một quyết định kỹ thuật quan trọng bạn đã thực hiện trong quá trình triển khai một dịch vụ hoặc quy trình DevOps? Những yếu tố nào bạn đã cân nhắc để đảm bảo tính đúng đắn, bảo mật và khả năng duy trì của giải pháp?",,,,,,,,,
REVIEW-3C2BD294A0,devops-cloud-security,Backend_Developer,Middle,vi,Problem Solving,Bạn có thể mô tả một tình huống cụ thể khi bạn áp dụng kỹ năng Problem Solving để giải quyết một vấn đề kỹ thuật trong dự án backend không? Quyết định kỹ thuật nào bạn đã đưa ra và bạn đã đánh đổi những gì?,,,,,,,,,
REVIEW-3DD4076C7C,product-qa,Backend_Developer,Middle,vi,Stress Testing,Bạn có thể mô tả một tình huống cụ thể khi bạn thực hiện stress testing cho một API trong dự án backend của mình không? Bạn đã quyết định như thế nào về các kịch bản stress testing và cách đo lường hiệu quả của hệ thống dưới tải cao?,,,,,,,,,
REVIEW-D202FA949C,software-development,Backend_Developer,Middle,en,Clean Architecture,Can you describe a specific instance where you applied Clean Architecture principles in your backend development? What trade-offs did you consider when designing the boundaries and dependencies?,,,,,,,,,
REVIEW-AC0015E790,architecture-management,Full_Stack_Developer,Middle,vi,Backend Development,Bạn có thể mô tả cách bạn áp dụng nguyên tắc SOLID trong phát triển backend và những lợi ích cụ thể mà nó mang lại cho dự án của bạn không?,,,,,,,,,
REVIEW-DCD2545D38,data-ai,Full_Stack_Developer,Middle,vi,HTTPS,Bạn có thể mô tả cách bạn đã triển khai HTTPS trong dự án của mình và những quyết định kỹ thuật quan trọng bạn đã đưa ra để đảm bảo bảo mật và hiệu năng không?,,,,,,,,,
REVIEW-85A988E8E9,devops-cloud-security,DevOps_Engineer,Middle,en,Network,Can you describe a specific network-related challenge you encountered in your DevOps role and explain the technical decisions you made to address it?,,,,,,,,,
REVIEW-6BA971D7A0,product-qa,Data_Scientist,Middle,vi,Feasibility,Bạn có thể chia sẻ về một trường hợp bạn đã đánh giá tính khả thi (feasibility) của một dự án dữ liệu trong vai trò Data Scientist? Những yếu tố nào bạn đã cân nhắc và quyết định để đảm bảo dự án có thể thực hiện được?,,,,,,,,,
REVIEW-BD80393610,software-development,AI_Engineer,Middle,vi,Virtual Environment,Bạn có thể mô tả cách bạn thiết lập và quản lý Virtual Environment trong dự án AI của mình để đảm bảo tính cô lập và tái tạo môi trường không?,,,,,,,,,
