review_id,category,domain,level,language,target_topic,question,technical_validity,role_relevance,cv_alignment,difficulty_alignment,clarity,rag_grounding,false_premise,reviewer_id,notes
REVIEW-2195E8451B,architecture-management,Software_Engineer,Middle,vi,Clean Code,"Trong quá trình phát triển phần mềm, bạn đã áp dụng các nguyên tắc Clean Code như thế nào để đảm bảo tính dễ đọc và dễ bảo trì của mã nguồn?",,,,,,,,,
REVIEW-CF9B5292C1,data-ai,DevOps_Engineer,Middle,en,Text Processing,"Can you describe a specific instance where you used text processing techniques as a DevOps Engineer to solve a problem or improve a system? What was the problem, and what text processing tools or methods did you employ?",,,,,,,,,
REVIEW-AE3D7AA3A3,devops-cloud-security,Backend_Developer,Middle,en,Technical Documentation,Can you describe a situation where you had to create or significantly update technical documentation for a system involving High Availability and Load Balancing?,,,,,,,,,
REVIEW-BC6468AA1A,product-qa,Business_Analyst,Middle,en,Critical Thinking,"As a Business Analyst, how have you applied critical thinking to challenge assumptions or detect inconsistencies in data or project requirements?",,,,,,,,,
REVIEW-3CFE8174C8,software-development,Full_Stack_Developer,Middle,en,JavaScript,"As a Full Stack Developer, you've worked with JavaScript. Can you describe a specific instance where understanding the JavaScript Event Loop was crucial for debugging or optimizing an application?",,,,,,,,,
REVIEW-D4A1C51CF2,architecture-management,Full_Stack_Developer,Middle,vi,Backend Development,"Trong vai trò Full Stack Developer, bạn đã áp dụng các nguyên tắc SOLID vào Backend Development như thế nào để đảm bảo tính dễ bảo trì và mở rộng của hệ thống?",,,,,,,,,
REVIEW-E0A0B7B7E4,data-ai,DevOps_Engineer,Middle,en,Notification,"When designing a notification system, what key considerations did you take into account to ensure that alerts were actionable and not overwhelming?",,,,,,,,,
REVIEW-FCABF4DA32,devops-cloud-security,DevOps_Engineer,Middle,en,Storage Monitoring,"Can you describe a time you implemented a Storage Monitoring solution? What metrics did you prioritize, and how did you ensure their accuracy and relevance?",,,,,,,,,
REVIEW-327AA941AC,product-qa,Data_Scientist,Middle,vi,Feasibility,"Trong một dự án Data Science, bạn đã đánh giá tính khả thi (Feasibility) của một giải pháp như thế nào, đặc biệt là khi xem xét các yếu tố như chất lượng dữ liệu và chi phí triển khai?",,,,,,,,,
REVIEW-C389965740,software-development,Backend_Developer,Middle,en,Clean Architecture,"Given your experience with Clean Architecture, how did you ensure that the business rules remained independent of the chosen database technology, such as MongoDB, in your projects?",,,,,,,,,
REVIEW-873B67EB15,architecture-management,Backend_Developer,Middle,en,Microservices Architecture,"Given your experience as a Backend Developer and your mention of Microservices Architecture, how have you approached defining service boundaries to ensure autonomy and minimize coupling between services?",,,,,,,,,
REVIEW-9B1152655A,data-ai,AI_Engineer,Middle,vi,Self-supervised Learning,"Trong các dự án của bạn, bạn đã áp dụng Self-supervised Learning như thế nào để cải thiện hiệu suất của các mô hình Image Classification, đặc biệt là khi dữ liệu được gán nhãn (labeled data) còn hạn chế?",,,,,,,,,
REVIEW-3C74600279,devops-cloud-security,DevOps_Engineer,Middle,vi,Implementation,"Trong vai trò DevOps Engineer, bạn đã thực hiện các giải pháp Automation để cải thiện quy trình triển khai hoặc vận hành như thế nào?",,,,,,,,,
REVIEW-51023C2374,product-qa,DevOps_Engineer,Middle,vi,Implementation,"Trong vai trò DevOps Engineer, bạn đã thực hiện các quy trình 'Implementation' như thế nào để đảm bảo tính đúng đắn, tuân thủ tiêu chuẩn và bảo mật cho các hệ thống?",,,,,,,,,
REVIEW-AEE5C1005C,software-development,Backend_Developer,Middle,en,Event-driven Architecture,"Given your experience with Event-driven Architecture, what were some of the key considerations and trade-offs you encountered when designing event contracts for ensuring compatibility and evolution over time?",,,,,,,,,
REVIEW-4EADF79816,architecture-management,Backend_Developer,Middle,en,Microsoft Azure,"Can you describe a specific project where you utilized Microsoft Azure, and what were the key Azure services you implemented for that project?",,,,,,,,,
REVIEW-C6FA48A10A,data-ai,AI_Engineer,Middle,en,Feature Extraction,Can you describe a specific instance where you had to make a trade-off between information loss and compactness during feature extraction?,,,,,,,,,
REVIEW-F05A10DE5B,devops-cloud-security,DevOps_Engineer,Middle,vi,Vulnerability Management,"Trong vai trò DevOps Engineer, bạn đã từng triển khai quy trình Vulnerability Management như thế nào để đảm bảo an ninh cho các hệ thống và ứng dụng?",,,,,,,,,
REVIEW-60C91A0180,product-qa,DevOps_Engineer,Middle,vi,Operations,"Trong vai trò DevOps Engineer, bạn đã từng triển khai hoặc quản lý các hoạt động (Operations) liên quan đến TLS, xác thực/ủy quyền, giới hạn tốc độ, hoặc thời gian chờ/thử lại cho các API như thế nào?",,,,,,,,,
REVIEW-9E5EA4D240,software-development,Backend_Developer,Middle,en,Unit Test,"Can you describe a situation where you had to debug a failing unit test? What was the underlying issue, and how did you approach resolving it?",,,,,,,,,
REVIEW-70ADD0A30D,architecture-management,Backend_Developer,Middle,vi,Single Sign-On (SSO),"Trong vai trò Backend Developer, bạn đã triển khai Single Sign-On (SSO) như thế nào để đảm bảo tính sẵn sàng cao (High Availability) và tối ưu hiệu suất (Performance Optimization) cho hệ thống?",,,,,,,,,
REVIEW-BCE7C5687E,data-ai,Data_Scientist,Middle,vi,Validation Set,"Trong các dự án của bạn, bạn đã sử dụng Validation Set như thế nào để đảm bảo mô hình hoạt động hiệu quả và tránh overfitting?",,,,,,,,,
REVIEW-76634D173C,devops-cloud-security,DevOps_Engineer,Middle,vi,Vulnerability Scanning,"Trong vai trò DevOps Engineer, bạn đã từng thực hiện Vulnerability Scanning như thế nào và bạn đã xử lý các lỗ hổng được phát hiện ra sao?",,,,,,,,,
REVIEW-0FD2BE0206,product-qa,AI_Engineer,Middle,en,Response,"When designing an AI Deployment API, what key considerations do you take into account for the prediction response schema to ensure it is robust and user-friendly?",,,,,,,,,
REVIEW-1414678BA5,software-development,Backend_Developer,Middle,en,Technical Documentation,"Can you describe a situation where you had to create or significantly update technical documentation for a complex system or feature? What challenges did you face, and how did you ensure its accuracy and usefulness for the target audience?",,,,,,,,,
REVIEW-25200D55A7,architecture-management,DevOps_Engineer,Middle,vi,SQL Server,"Trong vai trò DevOps Engineer, bạn đã sử dụng SQL Server như thế nào để hỗ trợ các hoạt động triển khai và quản lý cơ sở dữ liệu? Hãy chia sẻ một ví dụ cụ thể về việc bạn đã tối ưu hóa hiệu suất hoặc giải quyết một vấn đề liên quan đến SQL Server trong quá trình làm việc.",,,,,,,,,
REVIEW-5BCCEA1106,data-ai,DevOps_Engineer,Middle,en,Structure,Can you describe a situation where the structure of your JSON data significantly impacted the performance or maintainability of a system you were working on?,,,,,,,,,
REVIEW-A0DC932CB8,devops-cloud-security,Full_Stack_Developer,Middle,vi,JavaScript,"Trong dự án của bạn, bạn đã sử dụng JavaScript để làm gì và bạn đã gặp phải những thách thức nào khi làm việc với nó?",,,,,,,,,
REVIEW-A301EBBC56,product-qa,Full_Stack_Developer,Middle,en,Technical Documentation,"Can you describe a situation where you had to create or significantly update technical documentation for a project? What were the key challenges you faced, and how did you address them?",,,,,,,,,
REVIEW-FA0899B311,software-development,Software_Engineer,Middle,en,Optimization,"Can you describe a specific instance where you applied optimization techniques to improve the performance of a system or application, and what was the outcome?",,,,,,,,,
REVIEW-BA5ADC860B,data-ai,Software_Engineer,Middle,en,Software Design,"Can you describe a specific instance where your software design choices significantly impacted data quality, and what steps you took to address it?",,,,,,,,,
REVIEW-5B2F502053,devops-cloud-security,DevOps_Engineer,Middle,vi,Vulnerability Management,"Trong vai trò DevOps Engineer, bạn đã từng thực hiện quy trình Vulnerability Management như thế nào để đảm bảo an toàn cho các hệ thống đã triển khai?",,,,,,,,,
REVIEW-5F49740D97,product-qa,AI_Engineer,Middle,en,Requirements,Can you describe a time when you had to define the requirements for an AI project? What specific challenges did you face in translating business needs into technical requirements for the AI system?,,,,,,,,,
